date,open,high,close,low,volume
2001-01-05,0.736978,0.844366,0.81594,0.723818,26431600
2001-01-08,0.80857,0.855421,0.813308,0.790409,5914500
2001-01-09,0.818309,0.841734,0.821204,0.805412,2327900
2001-01-10,0.819362,0.831206,0.818572,0.81594,1327800
2001-01-11,0.81594,0.825942,0.812782,0.800148,1830600
2001-01-12,0.810413,0.816993,0.789619,0.784355,1851100
2001-01-15,0.789619,0.806991,0.806991,0.786987,985100
2001-01-16,0.794884,0.811202,0.800148,0.789883,694300
2001-01-17,0.797516,0.808044,0.797516,0.792251,468200
2001-01-18,0.7962,0.813308,0.804359,0.792251,714900
2001-01-19,0.800148,0.836997,0.826732,0.800148,698100
2001-02-05,0.831996,0.833838,0.778565,0.763299,1391600
2001-02-06,0.773827,0.784618,0.770669,0.76093,1286200
2001-02-07,0.765931,0.771195,0.73961,0.736978,1123900
2001-02-08,0.73961,0.76093,0.750138,0.737505,524500
2001-02-09,0.74619,0.784092,0.780407,0.744874,638000
2001-02-12,0.780407,0.789619,0.789619,0.763299,262300
2001-02-13,0.789619,0.799621,0.788303,0.768826,524200
2001-02-14,0.789619,0.795673,0.786987,0.78067,247000
2001-02-15,0.781723,0.799621,0.777775,0.773827,218600
2001-02-16,0.781723,0.793041,0.789093,0.764088,158400
2001-02-19,0.789356,0.790935,0.783302,0.781986,169700
2001-02-20,0.773827,0.789356,0.779091,0.773827,228900
2001-02-21,0.775143,0.775143,0.764615,0.763299,175700
2001-02-22,0.763562,0.785145,0.776459,0.763299,184700
2001-02-23,0.771195,0.789093,0.788303,0.771195,111900
2001-02-26,0.792251,0.797516,0.794884,0.781723,207700
2001-02-27,0.799621,0.805412,0.799884,0.789619,286300
2001-02-28,0.800148,0.804359,0.800148,0.796463,206200
2001-03-01,0.797779,0.81594,0.815677,0.797779,316200
2001-03-02,0.823836,0.826468,0.816203,0.81594,587200
2001-03-05,0.811992,0.833312,0.83068,0.811992,366100
2001-03-06,0.834364,0.856737,0.855947,0.829364,861100
2001-03-07,0.855947,0.927803,0.90543,0.855421,1571700
2001-03-08,0.90543,0.930435,0.921223,0.895428,1069800
2001-03-09,0.921223,0.937015,0.928856,0.912274,619800
2001-03-12,0.934383,1.02177,1.0015,0.926487,1382800
2001-03-13,1.00071,1.01334,0.976496,0.972548,909400
2001-03-14,0.970705,1.0444,1.02256,0.9686,971900
2001-03-15,1.02256,1.03387,1.02914,1.01334,415900
2001-03-16,1.02703,1.03545,1.01282,0.989656,688500
2001-03-19,1.01071,1.02651,1.01308,0.992288,287700
2001-03-20,1.01071,1.02966,1.01019,1.00018,453000
2001-03-21,1.01308,1.02782,1.02124,1.01229,365500
2001-03-22,1.02387,1.09994,1.09099,1.02387,1169800
2001-03-23,1.09099,1.10968,1.07704,1.0602,1028400
2001-03-26,1.07862,1.17127,1.16864,1.07862,950400
2001-03-27,1.18443,1.19996,1.16732,1.166,731500
2001-03-28,1.16679,1.26339,1.22654,1.16679,890100
2001-03-29,1.23707,1.28445,1.26918,1.23181,863200
2001-03-30,1.27655,1.3134,1.28392,1.24497,920000
2001-04-02,1.30814,1.3163,1.2884,1.26602,846600
2001-04-03,1.27655,1.30261,1.2884,1.27129,504000
2001-04-04,1.28971,1.28971,1.25023,1.21654,992600
2001-04-05,1.24497,1.25813,1.24233,1.21207,580700
2001-04-06,1.25023,1.30287,1.2805,1.24233,546600
2001-04-09,1.28182,1.30524,1.29498,1.28182,463600
2001-04-11,1.31077,1.33998,1.31077,1.30156,537500
2001-04-12,1.3163,1.34235,1.32077,1.29708,380100
2001-04-13,1.32393,1.45264,1.44764,1.31077,1233200
