date,open,high,close,low,volume
2000-01-27,1.29728,1.79073,1.6411,1.2742,29710700
2000-01-28,1.53605,1.57425,1.47715,1.47715,11787100
2000-02-14,1.4493,1.61563,1.59733,1.4095,9214600
2000-02-15,1.54241,1.58937,1.45168,1.44691,6121600
2000-02-16,1.45248,1.49387,1.39836,1.37687,4671800
2000-02-17,1.37846,1.43258,1.2742,1.25829,4707000
2000-02-18,1.275,1.40154,1.34663,1.275,2989000
2000-02-21,1.32116,1.37687,1.34026,1.27341,2361700
2000-02-22,1.34106,1.38085,1.30285,1.29967,1744800
2000-02-23,1.27341,1.33708,1.32514,1.27341,1000900
2000-02-24,1.32912,1.37289,1.35299,1.32116,1620300
2000-02-25,1.36334,1.37608,1.32753,1.3132,1265200
2000-02-28,1.32514,1.34583,1.33867,1.3132,1263500
2000-02-29,1.34344,1.4485,1.39438,1.34344,3341900
2000-03-01,1.38483,1.40075,1.37528,1.35697,1000500
2000-03-02,1.37687,1.39279,1.35299,1.33708,831600
2000-03-03,1.36891,1.37369,1.37289,1.33708,1118500
2000-03-06,1.37608,1.39677,1.32355,1.3132,1293700
2000-03-07,1.3132,1.33708,1.33469,1.3132,743800
2000-03-08,1.34902,1.3514,1.34981,1.32036,622000
2000-03-09,1.33708,1.36414,1.32434,1.30445,1433200
2000-03-10,1.32912,1.32991,1.30524,1.27739,1447100
2000-03-13,1.30365,1.32514,1.32036,1.27977,682200
2000-03-14,1.3132,1.34663,1.3331,1.28137,1038100
2000-03-15,1.34106,1.41587,1.35459,1.34106,2498200
2000-03-16,1.35459,1.36493,1.30285,1.2933,941400
2000-03-17,1.29728,1.33708,1.32991,1.29728,779100
2000-03-20,1.32514,1.42383,1.40791,1.30524,3940700
2000-03-21,1.40871,1.47238,1.45009,1.38483,4503600
2000-03-22,1.48193,1.48829,1.40473,1.39916,2263400
2000-03-23,1.4103,1.43258,1.42701,1.38881,1343100
2000-03-24,1.43258,1.45964,1.38801,1.38563,1732700
2000-03-27,1.38483,1.43338,1.41905,1.3721,1299400
2000-03-28,1.43258,1.48431,1.45646,1.41905,2348700
2000-03-29,1.45646,1.4684,1.44691,1.42303,1055200
2000-03-30,1.45487,1.47238,1.46681,1.43417,1729600
2000-03-31,1.46442,1.50421,1.45328,1.4485,1407700
2000-04-03,1.47238,1.47238,1.42064,1.41826,1245100
2000-04-04,1.41587,1.41587,1.3904,1.38722,803700
2000-04-05,1.36732,1.40871,1.39677,1.36732,431200
2000-04-06,1.39677,1.41507,1.41269,1.39438,722300
2000-04-07,1.42303,1.42383,1.41428,1.40075,623600
2000-04-10,1.41667,1.42144,1.41189,1.40473,712000
2000-04-11,1.41667,1.45487,1.43338,1.41269,936500
2000-04-12,1.44054,1.47238,1.43815,1.41667,773900
2000-04-13,1.43736,1.47158,1.45566,1.4294,1390500
2000-04-14,1.46123,1.47238,1.4477,1.44054,887100
2000-04-17,1.4485,1.4485,1.40473,1.39438,690400
2000-04-18,1.40473,1.45487,1.4286,1.38961,538500
2000-04-19,1.43258,1.49625,1.46919,1.43258,2136500
2000-04-20,1.48034,1.48591,1.45566,1.45009,755000
2000-04-21,1.46442,1.48829,1.46283,1.4485,1199100
2000-04-24,1.46442,1.46999,1.43497,1.4294,785000
2000-04-25,1.43258,1.4485,1.43656,1.42462,407200
2000-04-26,1.45646,1.45646,1.40552,1.40075,545600
2000-04-27,1.40632,1.41667,1.36891,1.36891,835900
2000-04-28,1.36891,1.40314,1.39279,1.36891,583900
2000-05-08,1.39677,1.41667,1.38881,1.37687,307800
2000-05-09,1.38881,1.41985,1.40075,1.38881,431500
2000-05-10,1.40075,1.40711,1.34663,1.34504,465000
2000-05-11,1.34344,1.36493,1.31559,1.3132,326200
2000-05-12,1.31479,1.36493,1.34742,1.3132,561200
2000-05-15,1.35299,1.36891,1.36812,1.34504,335300
2000-05-16,1.3721,1.40711,1.39995,1.35857,329800
2000-05-17,1.39756,1.40075,1.36652,1.36334,156400
2000-05-18,1.36891,1.39677,1.38881,1.35299,258000
2000-05-19,1.39358,1.39916,1.38403,1.37369,322200
2000-05-22,1.38324,1.52252,1.52252,1.37687,2941300
2000-05-23,1.55196,1.67055,1.54878,1.52331,8500300
2000-05-24,1.55196,1.5838,1.53446,1.50421,4754000
2000-05-25,1.55196,1.60768,1.58858,1.53684,3644300
2000-05-29,1.63155,1.66339,1.59255,1.57823,3573400
2000-05-30,1.59255,1.60688,1.51376,1.50819,2568200
2000-05-31,1.51217,1.53605,1.52809,1.48909,996900
2000-06-01,1.52888,1.59972,1.57107,1.52888,3380900
2000-06-02,1.57107,1.583,1.55992,1.53605,916400
2000-06-05,1.5639,1.59574,1.51456,1.5066,1557400
2000-06-06,1.52013,1.54003,1.53286,1.50819,871600
2000-06-07,1.53605,1.55594,1.53684,1.51297,677500
2000-06-08,1.53764,1.55196,1.54241,1.51376,598600
2000-06-09,1.5448,1.5838,1.5249,1.52093,988400
2000-06-12,1.50103,1.53207,1.5058,1.48829,740000
