date,open,high,close,low,volume
2010-11-02,5.8332,6.53721,6.36121,5.80001,34528555
2010-11-03,6.38635,6.5875,6.23449,6.13693,17614970
2010-11-04,6.33707,6.53721,6.4658,6.00418,13530515
2010-11-05,6.55732,7.0099,6.67097,6.55732,12802211
2010-11-08,6.89726,7.33777,7.33777,6.73936,12979833
2010-11-09,7.24122,7.66362,7.54293,7.04611,12489725
2010-11-10,7.48259,7.74408,7.4846,7.38001,6947686
2010-11-11,7.44236,7.60328,7.20602,7.16478,7683123
2010-11-12,6.96263,7.08935,6.63577,6.49296,10762725
2010-11-15,6.64985,6.77758,6.71019,6.48692,5760003
2010-11-16,6.70818,6.92643,6.45675,6.43664,6063637
2010-11-17,6.31293,6.43362,6.1832,6.08564,3955218
2010-11-18,6.23348,6.40244,6.33305,6.15604,3571243
2010-11-19,6.40144,6.40647,6.35115,6.13693,4248072
2010-11-22,6.26566,6.62471,6.52414,6.26164,4792775
2010-11-23,6.43965,6.51508,6.30589,6.19526,3705489
2010-11-24,6.28578,6.5362,6.52313,6.2717,3464326
2010-11-25,6.57342,6.69813,6.64583,6.47687,3793242
2010-11-26,6.62773,6.62773,6.43161,6.42155,3395869
2010-11-29,6.34713,6.42859,6.37127,6.27069,3481921
2010-11-30,6.33707,6.45977,6.24153,6.09469,3736847
2010-12-01,6.23147,6.38635,6.27974,6.16509,2350142
2010-12-02,6.38635,6.4648,6.33607,6.29684,2747509
2010-12-03,6.324,6.48692,6.40043,6.32199,2722451
2010-12-06,6.42759,6.47486,6.23549,6.18521,2234234
2010-12-07,6.2184,6.33607,6.27371,6.11481,2507759
2010-12-08,6.23549,6.24756,6.13492,6.11682,2012774
2010-12-09,6.11581,6.15504,5.90863,5.84326,2492700
2010-12-13,6.03435,6.34612,6.32601,5.98909,3323748
2010-12-14,6.33204,6.33204,6.32098,6.24656,1680402
2010-12-15,6.32601,6.47184,6.34914,6.27572,2258475
2010-12-16,6.33607,6.42658,6.39138,6.28075,1747338
2010-12-17,6.41149,6.61968,6.58548,6.37026,3642356
2010-12-20,6.61867,6.68304,6.38233,6.22342,3332045
2010-12-21,6.42557,6.53721,6.5352,6.35417,2758383
2010-12-22,6.5362,6.53721,6.42759,6.41149,1816261
2010-12-23,6.43865,6.43865,6.25561,6.2365,2090029
2010-12-24,6.18521,6.26064,6.17213,6.09469,1529249
2010-12-27,6.17113,6.43261,6.24957,6.16509,2728136
2010-12-28,6.23348,6.43664,6.33707,6.16409,2523467
2010-12-29,6.34612,6.44669,6.42557,6.32802,1760688
2010-12-30,6.42557,6.42658,6.37428,6.28578,1597847
2010-12-31,6.36423,6.44669,6.43261,6.32098,1854943
2011-01-04,6.5171,6.53118,6.4648,6.40647,2129869
2011-01-05,6.52112,6.66795,6.59655,6.47486,3360901
2011-01-06,6.62571,6.62672,6.41652,6.41451,2657848
2011-01-07,6.39641,6.59554,6.45474,6.36221,1936143
2011-01-10,6.44669,6.55129,6.32903,6.32601,1310765
2011-01-11,6.23549,6.28377,6.17213,6.10475,1762992
2011-01-12,6.21538,6.23248,6.18621,6.12486,821295
2011-01-13,6.23348,6.28578,6.22242,6.18621,760775
2011-01-14,6.18521,6.22242,6.03435,6.0253,1346215
2011-01-17,5.97099,6.07055,5.92271,5.89355,956837
2011-01-18,5.93176,6.01021,5.95892,5.84628,522702
2011-01-19,5.95892,6.16208,6.13291,5.95389,1168538
2011-01-20,6.12486,6.18118,5.94584,5.94182,989366
2011-01-21,5.91869,6.02429,6.00619,5.89355,922903
2011-01-24,6.08966,6.3944,6.16308,6.03535,1902555
2011-01-25,6.12386,6.22342,5.96395,5.85332,1747647
2011-01-26,5.974,6.05245,6.00015,5.92372,865962
2011-01-27,5.96395,6.12989,6.10274,5.9197,1322062
2011-01-28,6.11983,6.18521,6.10274,6.07961,1081971
2011-01-31,6.09469,6.10274,6.07759,5.95188,1211348
2011-02-01,6.03334,6.11983,6.07759,6.03234,762265
2011-02-09,5.92372,6.07458,5.84427,5.84427,3795370
2011-02-10,5.88349,6.08463,6.06955,5.87947,2969873
2011-02-11,6.05949,6.18521,6.149,6.02228,2567428
2011-02-14,6.15403,6.26566,6.23549,6.08866,3082811
2011-02-15,6.26265,6.47586,6.32601,6.2375,3845699
2011-02-16,6.33607,6.63175,6.6237,6.32601,5038712
2011-02-17,6.92743,6.96766,6.83893,6.68807,7021621
2011-02-18,6.83893,7.16579,6.97671,6.75445,6095051
2011-02-21,7.01996,7.32168,7.05013,6.95961,5395809
2011-02-22,6.98476,7.05616,6.69813,6.68807,5758680
2011-02-23,6.69611,7.36794,7.36794,6.6941,8274774
2011-02-24,7.24122,7.34179,7.09036,7.01493,5984455
2011-02-25,7.13863,7.17082,7.06019,6.84999,4313336
2011-02-28,7.27139,7.33777,7.23921,7.08231,6128244
2011-03-01,7.21909,7.25127,7.21105,7.0803,3826417
2011-03-02,7.17082,7.44236,7.34179,7.11047,4979985
2011-03-03,7.38604,7.52081,7.16076,7.16076,4751139
2011-03-04,7.18892,7.21105,7.12053,7.0099,3190786
2011-03-07,7.0984,7.17886,7.14567,6.98878,3505423
2011-03-08,7.1507,7.26133,7.24323,7.04812,3252766
2011-03-09,7.27139,7.29754,7.25127,7.18188,2600502
2011-03-10,7.28547,7.60328,7.3971,7.25127,5023795
2011-03-11,7.35285,7.79437,7.59423,7.32168,6625299
2011-03-14,7.64652,7.73905,7.66161,7.52483,3789704
2011-03-15,7.61434,7.63647,7.45141,7.32168,4855269
2011-03-16,7.42225,7.64049,7.57009,7.38001,3655304
2011-03-17,7.49265,7.57311,7.33877,7.3086,3443090
2011-03-18,7.43231,7.56104,7.42225,7.36693,2451220
2011-03-21,7.47153,7.57814,7.49768,7.40314,2084957
2011-03-22,7.49667,7.52684,7.35989,7.32771,2169491
2011-03-23,7.36392,7.43331,7.42929,7.32972,2030376
2011-03-24,7.44035,7.46751,7.3619,7.34883,1745679
2011-03-25,7.39006,7.6415,7.54696,7.37196,3270834
2011-03-28,7.56305,7.62038,7.35285,7.34682,3132069
2011-03-30,7.14065,7.17082,6.81881,6.79166,4158821
2011-03-31,6.91939,6.92743,6.73735,6.72226,2554440
2011-04-01,6.76249,6.98777,6.9395,6.76249,2253751
2011-04-06,6.89927,6.90832,6.77456,6.73936,2552181
2011-04-07,6.7987,7.01895,6.93648,6.7987,1928497
2011-04-08,7.0793,7.42124,7.3438,7.05315,3559981
2011-04-11,7.51578,7.78632,7.57311,7.44236,5202536
2011-04-12,7.59322,7.59322,7.51779,7.45242,2182637
2011-04-13,7.52885,7.84164,7.83962,7.52885,5057923
2011-04-14,7.8537,8.00557,7.70989,7.60428,4590767
2011-04-15,7.60215,7.61638,7.35823,7.31758,9154732
2011-04-18,7.25254,7.57573,7.31148,7.13667,7978054
2011-04-19,7.19359,8.03918,7.82778,7.13667,14840744
2011-04-20,7.90502,8.02698,7.82575,7.64281,13287371
2011-04-21,7.8603,8.02088,7.84811,7.72615,8782288
2011-04-22,7.85014,7.97616,7.78306,7.74647,6249448
2011-04-25,7.74241,7.74444,7.30945,7.24847,7750207
2011-04-26,7.31148,7.48019,7.35823,7.31148,4576344
2011-04-27,7.41718,7.45784,7.07569,6.9639,7240778
2011-04-28,7.12448,7.15294,6.80942,6.78909,4452536
2011-04-29,6.85007,6.99642,6.97203,6.79519,3372836
2011-05-03,6.97,7.19765,7.18546,6.86633,4451898
2011-05-04,7.11432,7.11432,6.8582,6.85007,4978240
2011-05-05,6.86023,6.90698,6.80332,6.78909,3450395
2011-05-06,6.65697,6.73624,6.63461,6.40288,5278639
2011-05-09,6.65697,6.76876,6.70372,6.61835,3500795
2011-05-10,6.72404,6.99642,6.97813,6.59192,5621767
2011-05-11,6.91715,6.94967,6.83178,6.78502,3767574
2011-05-12,6.70778,6.76063,6.55127,6.54924,3802719
2011-05-13,6.57566,6.70778,6.66713,6.46386,3148604
2011-05-16,6.62648,6.70168,6.55533,6.55533,2119449
2011-05-17,6.56143,6.70778,6.67526,6.48622,2817407
2011-05-18,6.62648,6.65087,6.62038,6.57363,1779013
2011-05-19,6.62648,6.69965,6.52688,6.52484,2124834
2011-05-20,6.50655,6.66103,6.5655,6.46793,2129542
2011-05-23,6.52484,6.53907,6.27076,6.23824,3797920
2011-05-24,6.19962,6.36223,6.35003,6.17929,2667645
2011-05-25,6.32158,6.40288,6.23621,6.22604,2146345
2011-05-26,6.32158,6.35003,6.2423,6.18945,1933796
2011-05-27,6.21791,6.25653,6.20775,6.06953,2197459
2011-05-30,6.15896,6.161,6.05936,6.00448,1467557
2011-05-31,6.05733,6.19555,6.18742,6.05733,1579253
2011-06-01,6.18132,6.21588,6.18742,6.08376,1661346
2011-06-02,6.09798,6.09798,5.98212,5.93537,2286645
2011-06-03,5.97602,6.11831,6.10612,5.95976,2446011
2011-06-07,6.09798,6.17929,6.11018,6.05733,1394189
2011-06-08,6.11018,6.11831,6.09392,6.01261,1607949
2011-06-09,6.09798,6.09798,5.93537,5.93131,1961569
2011-06-10,5.89065,5.94553,5.77073,5.66299,2676894
2011-06-13,5.70162,5.74024,5.71788,5.61421,1599478
2011-06-14,5.71788,5.9557,5.89878,5.69348,2680673
2011-06-15,5.90285,5.90285,5.77276,5.76869,1798898
2011-06-16,5.69145,5.70975,5.61015,5.61015,1854119
2011-06-17,5.53087,5.6569,5.5451,5.53087,1535667
2011-06-21,5.5329,5.71788,5.70771,5.48819,2284192
2011-06-22,5.70771,5.73007,5.64673,5.62641,1309115
2011-06-23,5.6508,5.93131,5.8622,5.59185,3279909
2011-06-24,5.82358,6.05327,5.98619,5.80325,4248414
2011-06-27,6.02278,6.19555,6.0614,5.98822,3910322
2011-06-28,6.03091,6.16913,6.10815,6.02887,2955154
2011-06-29,6.11018,6.18742,6.10408,6.04107,2796188
2011-06-30,6.08985,6.27889,6.27889,6.08985,3502331
2011-07-01,6.29312,6.39882,6.21588,6.20775,3131741
2011-07-04,6.24434,6.39882,6.348,6.24434,2509000
2011-07-05,6.348,6.39475,6.37646,6.30938,2406211
2011-07-06,6.37849,6.39882,6.33987,6.2606,2418336
2011-07-07,6.30532,6.52484,6.41101,6.30532,4308091
2011-07-08,6.40288,6.50248,6.47606,6.37239,2999218
2011-07-11,6.46386,6.52281,6.48419,6.40085,2532760
2011-07-12,6.43337,6.43337,6.2423,6.21181,4029989
2011-07-13,6.21994,6.38459,6.35613,6.20368,2924778
2011-07-14,6.44964,6.79925,6.65493,6.43541,5891670
2011-07-15,6.6468,6.79315,6.75453,6.56753,4266384
2011-07-18,6.82568,6.85007,6.67729,6.66713,3203527
2011-07-19,6.62648,6.62648,6.47403,6.4598,3078034
2011-07-20,6.46386,6.58786,6.50452,6.41915,1899933
2011-07-21,6.51265,6.53704,6.40898,6.39272,1776426
2011-07-22,6.4659,6.48622,6.43744,6.40288,1291485
2011-07-25,6.41711,6.41711,6.07563,6.03904,3072656
2011-07-26,6.05733,6.11221,6.0614,6.00448,1249317
2011-07-27,6.05733,6.19352,6.18539,6.01261,1786285
2011-07-28,6.15693,6.15693,6.08376,6.03497,1875763
2011-07-29,6.08782,6.15083,6.08579,6.05123,1667186
2011-08-01,6.13457,6.2423,6.18539,6.09798,1985814
2011-08-02,6.13864,6.13864,6.11018,6.00042,1691164
2011-08-03,6.03497,6.1671,6.09189,6.00651,1323965
2011-08-04,6.09189,6.18539,6.1671,6.09189,1647643
2011-08-05,5.98619,6.06749,5.9557,5.89878,1994372
2011-08-08,5.88455,5.88455,5.51055,5.39062,3313393
2011-08-09,5.38859,5.55933,5.51258,5.19955,2825883
2011-08-10,5.67113,5.72601,5.60608,5.58982,2489641
2011-08-11,5.47599,5.68535,5.66096,5.41908,2385290
2011-08-12,5.74227,6.09392,6.037,5.74227,4850070
2011-08-15,6.04107,6.20165,6.0492,6.02074,4522812
2011-08-16,6.06953,6.07766,5.90488,5.88862,2703005
2011-08-17,5.90895,6.07156,6.05733,5.90691,3318245
2011-08-18,6.05733,6.07563,5.88252,5.87236,2295851
2011-08-19,5.72194,5.79309,5.7626,5.69145,1926143
2011-08-22,5.74837,5.81341,5.65486,5.63047,2136799
2011-08-23,5.70365,5.75243,5.75243,5.63454,1351490
2011-08-24,5.80528,5.92521,5.82764,5.78292,2799907
2011-08-25,5.86626,5.98009,5.95367,5.80325,2406880
2011-08-26,5.95367,5.96586,5.92114,5.87033,1730456
2011-08-29,5.88049,5.88049,5.7626,5.75446,1997201
2011-08-30,5.78495,5.87439,5.70771,5.69348,1628131
2011-08-31,5.74837,5.74837,5.69755,5.66096,1037849
2011-09-01,5.74227,5.76666,5.68942,5.66299,978279
2011-09-02,5.72601,5.72601,5.62641,5.61421,892970
2011-09-05,5.58982,5.59388,5.40281,5.40281,1554694
2011-09-06,5.36216,5.44347,5.36419,5.32761,1048002
2011-09-07,5.42111,5.52477,5.50851,5.41501,1195914
2011-09-08,5.5451,5.58169,5.45566,5.4516,1069387
2011-09-09,5.55526,5.57559,5.42721,5.38655,990436
2011-09-13,5.34387,5.34387,5.29508,5.26459,1070069
2011-09-14,5.30525,5.35606,5.34793,5.23614,1147692
2011-09-15,5.34183,5.4394,5.36216,5.30931,1281749
2011-09-16,5.40281,5.48412,5.40891,5.38655,1254794
2011-09-19,5.38452,5.38452,5.23004,5.22801,1191947
2011-09-20,5.20971,5.28085,5.24223,5.17312,838149
2011-09-21,5.24427,5.41908,5.40688,5.19548,1628760
