date,open,high,close,low,volume
2008-05-12,2.09382,2.31352,2.24969,2.09382,18212540
2008-05-13,2.26008,2.47458,2.47458,2.25711,4998231
2008-05-14,2.53841,2.5963,2.51986,2.39739,4922130
2008-05-15,2.48274,2.66459,2.52357,2.48274,4635873
2008-05-16,2.48645,2.61931,2.44637,2.42708,3477867
2008-05-19,2.48571,2.69131,2.69131,2.45305,2706178
2008-05-20,2.73733,2.83307,2.70912,2.61709,3350159
2008-05-21,2.72397,2.74623,2.7351,2.58294,2727333
2008-05-22,2.67201,2.76108,2.64826,2.59853,2299376
2008-05-23,2.60373,2.79299,2.77592,2.60373,2350531
2008-05-26,2.74623,2.80561,2.68537,2.66459,1072142
2008-05-27,2.66236,2.71654,2.56068,2.54583,1002699
2008-05-28,2.56513,2.65717,2.59779,2.4872,898586
2008-05-29,2.5681,2.70912,2.68611,2.55326,837634
2008-05-30,2.65717,2.75959,2.72322,2.65717,807523
2008-06-02,2.70764,2.71358,2.69131,2.61338,487290
2008-06-03,2.67943,2.95035,2.87093,2.6735,1597372
2008-06-04,2.85386,2.87612,2.83975,2.74846,881802
2008-06-05,2.79819,2.88577,2.85757,2.74994,567628
2008-06-06,2.90878,2.95035,2.87983,2.83901,634327
2008-06-10,2.79522,2.85683,2.73733,2.59779,1176500
2008-06-11,2.67275,2.74326,2.66459,2.56068,1232929
2008-06-12,2.6297,2.66459,2.64232,2.52579,700601
2008-06-13,2.62822,2.63119,2.4486,2.39813,1469408
2008-06-16,2.4204,2.4486,2.38997,2.22742,1820979
2008-06-17,2.34617,2.38922,2.24894,2.24746,345980
2008-06-18,2.22816,2.37289,2.36696,2.12276,631943
2008-06-19,2.3009,2.3343,2.1955,2.13167,531042
2008-06-20,2.17101,2.33059,2.25191,2.05671,487879
2008-06-23,2.18956,2.24078,2.21554,2.15245,348145
2008-06-24,2.20441,2.33727,2.33059,2.17472,558432
2008-06-25,2.30164,2.38848,2.36028,2.26527,471032
2008-06-26,2.36028,2.36621,2.31574,2.24894,641741
2008-06-27,2.22668,2.28828,2.18363,2.18214,381986
2008-06-30,2.19328,2.24004,2.23336,2.1198,217617
2008-07-01,2.23336,2.2341,2.22668,2.15245,144180
2008-07-02,2.22668,2.29941,2.26824,2.19773,197415
2008-07-03,2.20292,2.37512,2.34543,2.17695,511395
2008-07-04,2.31574,2.32317,2.26973,2.24152,215576
2008-07-07,2.33653,2.37215,2.31649,2.2868,425147
2008-07-08,2.32317,2.37512,2.37512,2.31574,780133
