date,open,high,close,low,volume
2003-11-18,1.95014,2.02839,1.93449,1.91258,753863103
2003-11-19,1.92823,1.96579,1.95327,1.9251,96487383
2003-11-20,1.95014,1.9877,1.9877,1.93762,80413119
2003-11-21,1.99083,2.04405,1.97831,1.97831,83514726
2003-11-24,1.97831,2.08787,2.08161,1.97831,67664675
2003-11-25,2.08161,2.10665,2.06909,2.05344,73092530
2003-11-26,2.06909,2.10665,2.07222,2.05344,30557854
2003-11-27,2.07222,2.10039,2.08474,2.05657,34184475
2003-11-28,2.08787,2.14734,2.13482,2.08787,46420361
2003-12-01,2.13482,2.19743,2.19117,2.13169,60715269
2003-12-02,2.19743,2.20995,2.19117,2.18178,49673663
2003-12-03,2.19117,2.40715,2.31012,2.18804,123634920
2003-12-04,2.31012,2.36959,2.33516,2.29446,80532968
2003-12-05,2.33829,2.36333,2.33829,2.29133,65851201
2003-12-08,2.33829,2.3602,2.30386,2.30072,41100554
2003-12-09,2.30386,2.36959,2.36333,2.30386,53130054
2003-12-10,2.37272,2.4228,2.41967,2.36333,62604522
2003-12-11,2.42906,2.44785,2.37898,2.34455,81716704
2003-12-12,2.36646,2.38524,2.37272,2.34142,36584294
2003-12-15,2.37272,2.37585,2.35081,2.33829,30550542
2003-12-16,2.34768,2.41028,2.40089,2.31638,54410022
2003-12-17,2.38211,2.43533,2.36646,2.36333,48720370
2003-12-18,2.35707,2.43533,2.41967,2.35081,34982281
2003-12-19,2.43219,2.53236,2.50419,2.42906,86725345
2003-12-22,2.51984,2.72331,2.692,2.4948,95295105
2003-12-23,2.692,2.73583,2.72018,2.67322,62355811
2003-12-24,2.72018,2.77652,2.77339,2.69514,50427107
2003-12-25,2.78278,2.83287,2.764,2.72644,59412995
2003-12-26,2.764,2.77652,2.72957,2.70766,38569083
2003-12-29,2.71705,2.74522,2.69827,2.68887,32623334
2003-12-30,2.69827,2.83287,2.81408,2.69827,69945314
2003-12-31,2.83287,2.83913,2.71705,2.71079,50752639
2004-01-02,2.72644,2.81721,2.764,2.71705,37709688
2004-01-05,2.75774,2.90799,2.87982,2.73583,82084105
2004-01-06,2.88608,2.8986,2.83913,2.7953,88712116
2004-01-07,2.83913,2.98938,2.8986,2.80782,90452548
2004-01-08,2.89547,2.93303,2.89234,2.85165,43007300
2004-01-09,2.89234,2.92677,2.78904,2.77339,60537300
2004-01-12,2.77965,2.8673,2.85791,2.71705,66829066
2004-01-13,2.86417,2.86417,2.77652,2.75148,45907320
2004-01-14,2.77026,2.79217,2.74835,2.72018,28824540
2004-01-15,2.74522,2.78591,2.69514,2.68574,41954580
2004-01-16,2.69827,2.79217,2.76087,2.69827,41367966
2004-01-29,2.764,2.80156,2.78904,2.74209,21044688
2004-01-30,2.78904,2.82347,2.73583,2.72331,32595507
2004-02-02,3.00816,3.00816,2.82974,2.78591,99835968
2004-02-03,2.82974,2.89234,2.87982,2.80469,38943150
2004-02-04,2.88295,3.11459,3.06763,2.88295,94118764
2004-02-05,3.06763,3.11146,3.08328,3.02381,41389287
2004-02-06,3.08328,3.08641,3.04572,3.01442,33573141
2004-02-09,3.05511,3.11459,3.05824,3.03633,28180910
2004-02-10,3.05824,3.07389,2.98625,2.96747,34964524
2004-02-11,2.98625,3.00503,2.95494,2.92051,37963693
2004-02-12,2.98938,2.99877,2.79217,2.78591,73026053
2004-02-13,2.78591,2.84226,2.80156,2.77026,37122371
2004-02-16,2.80469,2.86104,2.86104,2.80156,33429351
2004-02-17,2.87043,2.87982,2.81721,2.80469,47690942
2004-02-18,2.81721,2.84226,2.82974,2.78904,27925117
2004-02-19,2.82974,2.88295,2.85791,2.81721,51395038
2004-02-20,2.85791,2.87043,2.84852,2.83287,21038314
2004-02-23,2.85165,2.86417,2.73896,2.72957,35458400
2004-02-24,2.72331,2.77026,2.74522,2.69514,29280401
2004-02-25,2.74522,2.82034,2.74522,2.72644,19574663
