date,open,high,close,low,volume
2010-02-05,9.48988,9.49564,9.27695,9.20789,6582541
2010-02-08,9.21077,9.27695,9.04963,8.92014,2179325
2010-02-09,9.00359,9.08991,8.9259,8.87698,1138399
2010-02-10,8.91439,9.0784,9.02661,8.87986,1005864
2010-02-11,8.97194,9.03236,8.9518,8.92014,747787
2010-02-12,8.95467,9.04387,9.00359,8.93453,737661
2010-02-22,8.94892,9.00647,8.94604,8.89137,697888
2010-02-23,8.93741,8.93741,8.83382,8.70433,701814
2010-02-24,8.83382,9.07265,9.05826,8.7216,1325961
2010-02-25,9.12157,9.33738,9.23666,9.08128,2322153
2010-02-26,9.23091,9.26544,9.13883,9.12732,1022866
2010-03-01,9.21364,9.37766,9.33738,9.21364,1568359
2010-03-02,9.3345,9.37191,9.25393,9.17336,1047420
2010-03-03,9.21652,9.30285,9.21652,9.17912,1003580
2010-03-04,9.21652,9.26544,8.82231,8.82231,1188048
2010-03-05,8.89137,9.05538,8.97769,8.89137,712228
2010-03-08,8.98345,9.11006,9.10142,8.94892,579144
2010-03-09,9.08128,9.14459,9.09567,9.00647,462620
2010-03-10,9.10718,9.15034,8.98057,8.91439,549448
2010-03-12,9.04675,9.72296,9.36615,9.04675,3467982
2010-03-15,9.36615,9.5647,9.39205,9.26544,1882153
2010-03-16,9.32299,9.43809,9.28558,9.13595,1102230
2010-03-17,9.28846,9.48988,9.46974,9.22515,1325765
2010-03-18,9.44384,9.48988,9.36903,9.29421,1023674
2010-03-19,9.36903,9.40644,9.36903,9.26544,875631
2010-03-22,9.40931,9.48413,9.38054,9.31148,696824
2010-03-23,9.38054,9.44384,9.29134,9.25105,658108
2010-03-24,9.29134,9.63951,9.55894,9.27983,2108801
2010-03-25,9.62224,9.74885,9.60786,9.46686,2384692
2010-03-26,9.53304,9.62512,9.53592,9.41219,1171536
2010-03-29,9.5647,9.64526,9.60498,9.43809,1187843
2010-03-30,9.62224,10.5517,10.3157,9.53304,3338456
2010-03-31,10.1862,10.5891,10.2812,10.1517,2598093
2010-04-01,10.238,10.6696,10.4164,10.1949,2220715
2010-04-02,10.3445,10.4164,10.4049,10.238,1179982
2010-04-06,10.4078,10.9315,10.6754,10.4078,1305365
2010-04-07,10.6006,10.7847,10.6955,10.5114,1269015
2010-04-08,10.6265,10.6869,10.3157,10.2726,1882530
2010-04-09,10.3186,10.4826,10.4135,10.2639,1049352
2010-04-12,10.3157,10.3761,10.3416,10.1862,1677633
2010-04-13,10.3215,10.4366,9.74022,9.54743,1959012
2010-04-14,9.83518,9.90999,9.79777,9.74598,678337
2010-04-15,9.79777,9.79777,9.52729,9.45247,1138451
2010-04-16,9.49564,9.69706,9.60498,9.49564,644988
2010-04-19,9.54455,9.80352,9.41219,9.38054,893201
2010-04-20,9.43809,9.56182,9.53592,9.35464,666748
2010-04-21,9.55319,9.89273,9.88409,9.49564,1221520
2010-04-22,9.88409,10.0567,9.86683,9.75461,1133361
2010-04-23,9.81216,10.0107,9.78914,9.71145,1135933
2010-04-26,9.81791,9.9215,9.82942,9.69706,732772
2010-04-27,9.82654,9.90136,9.29134,9.14171,910749
2010-04-28,9.17912,9.27983,9.19063,9.06402,474799
2010-04-29,9.25393,9.2827,8.92014,8.86835,606593
2010-04-30,8.92014,9.02085,8.6324,8.52305,738896
2010-05-04,8.51154,8.71297,8.53169,8.35904,380655
2010-05-05,8.41659,8.71297,8.67844,8.13747,2155285
2010-05-06,8.60362,8.62952,8.22955,8.22955,1409631
2010-05-07,8.0569,8.23818,8.08568,7.99935,970943
2010-05-11,8.13747,8.24394,7.63392,7.62528,1401688
2010-05-12,7.53321,7.71161,7.39509,7.19366,1138320
2010-05-13,7.36631,7.61665,7.56486,7.22244,824604
2010-05-14,7.51019,7.90728,7.72887,7.42386,1287147
2010-05-17,7.53896,7.6109,7.14762,7.13611,1068027
2010-05-18,7.14762,7.27999,7.23107,6.90016,977112
2010-05-19,7.16489,7.40947,7.27423,7.07857,943351
2010-05-20,7.18215,7.36343,7.12173,7.12173,647628
2010-05-21,6.90016,7.25697,7.25697,6.84837,946487
2010-05-24,7.32603,7.72887,7.62241,7.32315,1523017
2010-05-25,7.54184,7.82383,7.71449,7.48429,1370122
2010-05-26,7.74038,7.74038,7.63104,7.55335,745493
2010-05-27,7.6109,7.8526,7.80369,7.48141,1116680
2010-05-28,7.91303,7.97921,7.81807,7.80656,1022780
2010-05-31,7.75477,7.8785,7.51019,7.51019,903622
2010-06-01,7.48141,7.4958,7.27999,7.16489,761366
2010-06-02,7.24834,7.43825,7.42386,7.23107,464661
2010-06-03,7.48141,7.74614,7.51306,7.48141,941357
2010-06-04,7.43249,7.65118,7.6483,7.38933,625719
2010-06-07,7.49868,7.83822,7.80081,7.40947,1103693
2010-06-08,7.76916,7.90728,7.85836,7.68859,1193377
2010-06-09,7.85836,8.03388,8.0195,7.82671,1243371
2010-06-10,8.01374,8.15474,8.1087,7.9418,1127375
